Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
NW,Lancashire,888,Burnley College,General FE and Tertiary,10001000,106751,"2,360",78,"11,046,901","1,646,708",111,0,"468,000","457,326","401,893","55,433","178,000","4,800",0,"12,155,026"
NE,North Tyneside,392,Burnside Business and Enterprise College,School Sixth Form,10009543,114765,123,0,"517,563","36,782",0,0,0,"14,893","14,893",0,0,0,0,"532,455"
GL,Wandsworth,212,Burntwood School,Academy,10042223,124381,345,6,"1,688,431","55,900",1,0,"36,000","52,824","52,824",0,0,"17,400",0,"1,794,654"
WM,Staffordshire,860,Burton and South Derbyshire College,General FE and Tertiary,10001004,105347,"1,738",56,"7,861,566","1,026,731",55,0,"336,000","246,570","221,119","25,451","191,500","1,200",0,"8,636,836"
NW,Bury,351,Bury College,General FE and Tertiary,10001005,105763,"3,648",136,"17,178,608","2,713,881",37,0,"816,000","719,519","534,719","184,800","407,500",0,0,"19,121,627"
NW,Bury,351,Bury Metropolitan Borough Council,Local Authority,10001008,108127,4,0,"7,315","6,000",0,0,0,500,500,0,0,0,0,"7,815"
EE,Suffolk,935,Bury St Edmunds County Upper School,Academy,10034608,119990,268,0,"1,072,675","15,117",1,0,0,"15,166","15,166",0,0,0,0,"1,087,841"
EE,Hertfordshire,919,Bushey Meads School,Academy,10036451,121008,268,1,"1,201,554","23,978",0,0,"6,000","23,991","23,991",0,0,"28,200",0,"1,259,745"
YH,Bradford,380,Buttershaw Business & Enterprise College Academy,Academy,10056525,120933,44,4,"185,211","11,740",0,0,"24,000","8,723","8,723",0,0,0,0,"217,934"
EM,Derbyshire,830,Buxton Community School,School Sixth Form,10001069,114168,139,0,"558,712","6,365",3,0,0,"9,531","9,531",0,0,0,0,"568,243"
NE,Northumberland,929,Buzz Learning Limited,Independent Learning Provider,10008135,117563,32,27,"152,833","32,543",1,0,"162,000","10,676","4,696","5,980",0,0,0,"325,508"
YH,North Yorkshire,815,Caedmon College Whitby,School Sixth Form,10007478,113420,168,0,"667,507","47,085",1,0,0,"18,514","18,514",0,0,0,0,"686,021"
EM,Lincolnshire,925,Caistor Grammar School,Academy,10032219,119377,176,0,"714,967","7,240",0,0,0,"6,886","6,886",0,0,0,0,"721,854"
NW,Wirral,344,Calday Grange Grammar School,Academy,10040001,121860,414,0,"1,666,467","14,367",0,0,0,"22,898","22,898",0,0,0,0,"1,689,365"
SE,Kent,886,Caldecott Foundation School,Non-Maintained Special School,10015061,123561,3,3,0,0,0,0,"30,000",500,500,0,0,0,0,"30,500"
YH,Calderdale,381,Calderdale College,General FE and Tertiary,10001093,108325,"1,673",83,"7,792,729","1,447,499",80,0,"498,000","414,644","307,153","107,491","168,500",0,0,"8,873,873"
NW,Liverpool,341,Calderstones School,School Sixth Form,10001095,113469,203,0,"825,418","37,890",0,0,0,"22,830","22,830",0,0,0,0,"848,249"
NW,Cumbria,909,Caldew School,Academy,10034592,120254,111,1,"440,669","10,149",1,0,"6,000","9,818","9,818",0,0,"4,200",0,"460,687"
SW,Cornwall,908,Callington Community College,Academy,10061650,137269,80,0,"327,119","8,894",0,0,0,"9,038","9,038",0,0,0,0,"336,157"
SW,Cornwall,908,Callywith College,Free School,10064832,139580,855,4,"3,680,172","235,943",1,0,"24,000","121,536","91,724","29,812",0,0,0,"3,825,708"
WM,Birmingham,330,Calthorpe Teaching Academy,Academy Special,10047147,130313,53,53,0,0,0,0,"530,000","5,686","5,686",0,0,0,0,"535,686"
WM,Coventry,331,Caludon Castle School,Academy,10040289,120328,318,2,"1,306,234","51,473",0,0,"12,000","33,821","33,821",0,0,0,0,"1,352,056"
SW,Somerset,933,Cambian Lufton College,Special Post-16 Institution,10012804,114865,83,83,"437,210","93,231",2,0,"498,000","14,679","7,511","7,168",0,0,0,"949,890"
SW,"Bournemouth, Christchurch and Poole",839,Cambian Wing College,Special Post-16 Institution,10027379,131955,43,43,"226,301","48,052",1,0,"258,000","6,977","4,613","2,364",0,"3,000",0,"494,278"
SW,Cornwall,908,Camborne Science and International Academy,Academy,10033248,119596,209,3,"851,857","50,432",6,0,"18,000","33,975","33,975",0,0,"6,000",0,"909,832"
EE,Cambridgeshire,873,Cambridge Academy for Science and Technology,University Technical College,10043511,130562,78,0,"311,207","6,000",0,0,0,"8,368","8,368",0,0,0,0,"319,575"
YH,North East Lincolnshire,812,Cambridge Park Academy,Academy Special,10035117,120437,23,23,0,0,0,0,"230,000","2,467","2,467",0,0,0,0,"232,467"
EE,Cambridgeshire,873,Cambridge Regional College,General FE and Tertiary,10001116,108527,"3,090",450,"13,731,286","1,577,237",194,"-64,603","2,700,000","359,971","237,516","122,455","328,000",0,0,"17,054,655"
EM,Northamptonshire,928,Campion School,Academy,10034646,120087,180,1,"741,071","42,078",4,0,"6,000","9,580","9,580",0,0,"6,000",0,"762,651"
WM,Warwickshire,937,Campion School,Academy,10035870,120347,103,5,"436,801","27,677",1,0,"30,000","12,278","12,278",0,0,0,0,"479,078"
YH,Doncaster,371,Campsmount Academy,Academy,10035009,120489,75,0,"325,816","28,033",2,0,0,"9,539","9,539",0,0,"5,400",0,"340,755"
WM,Staffordshire,860,Cannock Chase High School,Academy,10035154,120423,119,0,"493,555","24,966",0,0,0,"10,639","10,639",0,0,0,0,"504,194"
NW,Bolton,350,Canon Slade CofE School,Academy,10064723,138558,305,2,"1,223,972","35,875",0,0,"12,000","15,942","15,942",0,0,0,0,"1,251,914"
GL,Harrow,310,Canons High School,Academy,10034661,120199,279,0,"1,364,371","57,594",28,"-28,785",0,"25,999","25,999",0,0,0,0,"1,361,584"
EM,Northamptonshire,928,CANTO Learning Ltd,Independent Learning Provider,10082722,151950,47,37,"213,296","49,086",5,"-4,394","222,000","15,472","12,330","3,142",0,0,0,"446,374"
YH,Wakefield,384,CAPA College,Free School,10068090,140941,206,0,"1,021,650","52,626",0,0,0,"27,465","22,100","5,365",0,0,0,"1,049,115"
GL,Enfield,308,Capel Manor College,Agricultural & Horticultural College,10001148,108318,837,130,"6,617,947","680,988",29,0,"780,000","245,774","171,677","74,097","149,500",0,0,"7,793,220"
GL,Brent,304,Capital City Academy,Academy,10015295,118386,178,5,"890,953","108,731",4,0,"30,000","29,328","29,328",0,0,0,0,"950,281"
WM,Staffordshire,860,Cardinal Griffin Catholic College,School Sixth Form,10001159,114540,97,0,"394,586","13,204",0,0,0,"6,085","6,085",0,0,0,0,"400,671"
NW,Liverpool,341,Cardinal Heenan Catholic High School,School Sixth Form,10001160,113471,154,0,"726,026","70,004",0,0,0,"23,240","23,240",0,0,0,0,"749,266"
NE,Gateshead,390,Cardinal Hume Catholic School,Academy,10036181,120889,238,0,"1,000,028","56,836",0,0,0,"36,906","36,906",0,"5,500","8,400",0,"1,050,833"
NW,Rochdale,354,Cardinal Langley Roman Catholic High School,School Sixth Form,10001162,114757,134,0,"571,026","41,738",0,0,0,"12,463","12,463",0,0,0,0,"583,489"
SE,Brighton and Hove,846,Cardinal Newman Catholic School,School Sixth Form,10008145,113092,485,0,"2,020,649","114,360",8,0,0,"51,294","51,294",0,0,"4,200",0,"2,076,143"
WM,Coventry,331,Cardinal Newman Catholic School A Specialist Arts and Community College,Academy,10084120,162151,237,0,"1,036,422","73,474",0,0,0,"23,052","23,052",0,0,"6,600",0,"1,066,074"
EE,Luton,821,Cardinal Newman Catholic School A Specialist Science College,Academy,10053912,132426,285,1,"1,198,107","54,463",0,0,"6,000","21,326","21,326",0,0,"16,200",0,"1,241,633"
NW,Lancashire,888,Cardinal Newman College,Sixth Form College,10001165,108371,"3,631",55,"15,369,064","619,316",20,0,"330,000","352,694","268,049","84,645","102,250","186,000",0,"16,340,009"
GL,Hackney,204,Cardinal Pole Roman Catholic School,School Sixth Form,10001166,113107,137,0,"748,472","80,693",0,0,0,"26,917","26,917",0,0,"1,800",0,"777,188"
WM,Coventry,331,Cardinal Wiseman Catholic School,Academy,10049506,132319,198,0,"880,984","118,543",1,0,0,"25,797","25,797",0,0,0,0,"906,781"
EM,Nottinghamshire,891,Carlton Academy,Academy,10034979,120085,93,0,"370,395","6,000",3,0,0,"10,908","10,908",0,0,0,0,"381,303"
EM,Nottinghamshire,891,Carlton le Willows Academy,Academy,10033342,119542,255,0,"1,019,635","10,550",0,0,0,"21,627","21,627",0,0,0,0,"1,041,262"
NW,St. Helens,342,Carmel College,Sixth Form College,10001201,108370,"1,768",37,"7,361,849","538,002",5,0,"222,000","184,873","122,508","62,365",0,0,0,"7,768,722"
NE,Darlington,841,Carmel College,Academy,10035670,120603,270,0,"1,139,446","22,144",0,0,0,"17,806","17,806",0,0,600,0,"1,157,852"
NW,Lancashire,888,Carnforth High School,Academy,10065390,139255,29,0,"120,785","6,269",0,0,0,"3,111","3,111",0,0,0,0,"123,896"
EM,Northamptonshire,928,Caroline Chisholm School,Academy,10034581,120089,271,7,"1,072,452","10,853",0,0,"42,000","12,098","12,098",0,0,0,0,"1,126,549"
YH,Leeds,383,"Carr Manor Community School, Specialist Sports College",School Sixth Form,10001204,114533,4,0,"23,515","6,714",0,0,0,734,734,0,0,0,0,"24,249"
EM,Lincolnshire,925,Carre's Grammar School,Academy,10034531,120213,234,0,"939,718","6,000",0,0,0,"22,454","22,454",0,0,0,0,"962,172"
GL,Sutton,319,Carshalton Boys Sports College,Academy,10033760,119760,211,0,"993,030","44,572",22,"-25,775",0,"17,688","17,688",0,0,600,0,"985,542"
GL,Sutton,319,Carshalton High School for Girls,Academy,10033761,119761,191,0,"852,838","30,070",5,0,0,"17,849","17,849",0,0,0,0,"870,688"
SE,Oxfordshire,931,Carterton Community College,School Sixth Form,10017869,127269,49,0,"218,853","6,000",0,0,0,"5,257","5,257",0,0,0,0,"224,110"
SE,Surrey,936,Carwarden House Community School,Academy Special,10046764,130734,33,33,0,0,0,0,"330,000","3,540","3,540",0,0,0,0,"333,540"
YH,Kirklees,382,Castle Hill: A specialist College for Communication and Interaction,Academy Special,10054655,131215,28,28,0,0,0,0,"280,000","3,004","3,004",0,0,0,0,"283,004"
EE,Essex,881,CASTLEDON SCHOOL,Academy Special,10048921,131448,78,78,0,0,0,0,"780,000","8,368","8,368",0,0,0,0,"788,368"
YH,Wakefield,384,Castleford Academy,Academy,10033351,119602,43,0,"198,259","31,170",0,0,0,"4,613","4,613",0,0,0,0,"202,872"
SE,Portsmouth,851,Catch 22 Charity Ltd,Independent Learning Provider,10025727,118766,617,26,"2,248,713","570,722",44,"-32,916","156,000","187,559","84,236","103,323",0,0,0,"2,559,355"
NE,Hartlepool,805,Catcote Academy,Academy Special,10042626,124489,45,45,0,0,0,0,"450,000","4,828","4,828",0,0,0,0,"454,828"
NE,Hartlepool,805,Catcote Futures Learning and Skills Centre,Special Post-16 Institution,10067033,140986,28,28,"147,331","31,290",0,0,"168,000","5,039","3,004","2,035",0,0,0,"320,370"
GL,Redbridge,317,Caterham High School,School Sixth Form,10001229,114036,259,0,"1,244,337","96,046",0,0,0,"32,432","32,432",0,0,0,0,"1,276,769"
EE,Southend-on-Sea,882,Cecil Jones Academy,Academy,10083060,151952,46,0,"201,032","18,881",0,0,0,"6,485","6,485",0,0,0,0,"207,517"
EE,Central Bedfordshire,823,Cedars Upper School,Academy,10035155,120411,286,0,"1,184,291","19,808",1,0,0,"9,614","9,614",0,0,0,0,"1,193,904"
EE,Central Bedfordshire,823,Central Bedfordshire College,General FE and Tertiary,10002061,105017,"1,558",152,"7,713,420","1,278,951",67,0,"912,000","324,196","255,308","68,888","191,500",0,0,"9,141,116"
GL,Islington,206,Central Foundation Boys' School,School Sixth Form,10001257,113864,215,0,"1,072,871","79,706",0,0,0,"51,596","51,596",0,0,"12,600",0,"1,137,067"
GL,Tower Hamlets,211,Central Foundation Girls' School,School Sixth Form,10001258,113108,295,0,"1,616,540","181,425",2,0,0,"80,341","80,341",0,0,0,0,"1,696,881"
GL,Tower Hamlets,211,Central Training Academy Ltd,Independent Learning Provider,10001259,106548,384,0,"1,574,443","325,452",6,0,0,"75,773","75,773",0,0,0,0,"1,650,217"
GL,Camden,202,Central Young Men's Christian Association,Independent Learning Provider,10008155,139634,866,0,"3,462,509","717,414",20,0,0,"251,884","251,338",546,0,0,0,"3,714,393"
GL,Enfield,308,Chace Community School,School Sixth Form,10001302,113272,192,0,"926,065","93,222",17,"-14,888",0,"28,173","28,173",0,0,0,0,"939,350"
WM,Worcestershire,885,Chadsgrove Educational Trust Learning Centre,Special Post-16 Institution,10063538,138993,13,13,"68,404","14,527",0,0,"78,000","1,924","1,395",529,0,0,0,"148,327"
GL,Redbridge,317,Chadwell Heath Academy,Academy,10031353,119269,349,4,"1,614,645","45,655",0,0,"24,000","39,802","39,802",0,0,0,0,"1,678,447"
SE,East Sussex,845,Chailey Heritage School,Non-Maintained Special School,10015222,120975,25,25,0,0,0,0,"250,000","2,709","2,709",0,0,0,0,"252,709"
EE,Hertfordshire,919,Chancellor's School,Academy,10083590,151991,205,0,"901,314","6,000",0,0,0,"9,762","9,762",0,0,0,0,"911,076"
YH,Sheffield,373,Chapeltown Academy,Free School,10042362,130489,226,0,"938,104","46,941",4,0,0,"25,221","24,245",976,0,"46,800",0,"1,010,126"
GL,Bromley,305,Charles Darwin School,Academy,10033286,119586,179,6,"822,142","35,575",0,0,"36,000","13,768","13,768",0,0,0,0,"871,910"
GL,Greenwich,203,Charlton Park Academy,Academy Special,10038163,122099,51,51,0,0,0,0,"510,000","5,471","5,471",0,0,0,0,"515,471"
EM,Leicestershire,855,Charnwood College,Academy,10049036,131799,104,0,"422,370","9,467",0,0,0,"10,119","10,119",0,0,0,0,"432,489"
SE,Windsor and Maidenhead,868,Charters School,Academy,10039022,120779,372,0,"1,676,701","10,575",1,0,0,"17,615","17,615",0,0,0,0,"1,694,316"
EE,Southend-on-Sea,882,Chase High School,Academy,10048761,131778,155,0,"742,192","108,360",7,0,0,"23,936","23,936",0,0,"4,800",0,"770,927"
WM,Staffordshire,860,Chase Terrace Technology College,Academy,10062362,134606,168,0,"659,079","7,523",5,0,0,"11,485","11,485",0,0,0,0,"670,564"
SE,Kent,886,Chatham & Clarendon Grammar School,Academy,10032384,119418,463,0,"1,920,500","87,545",1,0,0,"42,731","42,731",0,0,"3,600",0,"1,966,830"
SE,Medway,887,Chatham Grammar School for Girls,Academy,10035160,120429,122,0,"494,580","13,759",0,0,0,"8,998","8,998",0,0,0,0,"503,578"
NW,Salford,355,Chatsworth Futures Limited,Special Post-16 Institution,10049051,132225,15,15,"78,927","16,762",23,"-43,600","90,000","1,609","1,609",0,0,0,0,"126,936"
NW,Salford,355,Chatsworth High School and Community College,Academy Special,10057515,133602,40,40,0,0,0,0,"400,000","4,291","4,291",0,0,0,0,"404,291"
NW,Stockport,356,Cheadle and Marple Sixth Form College,Sixth Form College,10001346,106867,"1,339",49,"5,603,559","672,145",24,0,"294,000","187,514","144,348","43,166","101,000",0,0,"6,186,072"
NW,Stockport,356,Cheadle Hulme High School,Academy,10036411,120752,266,0,"1,075,127","8,727",0,0,0,"28,536","28,536",0,0,"43,800",0,"1,147,464"
GL,Sutton,319,Cheam High School,Academy,10033705,119775,494,18,"2,199,114","47,705",1,0,"108,000","32,136","32,136",0,0,0,0,"2,339,251"
EM,Derby,831,Chellaston Academy,Academy,10032226,119381,337,0,"1,335,733","15,452",1,0,0,"23,580","23,580",0,0,0,0,"1,359,313"
EE,Essex,881,Chelmer Valley High School,Academy,10034627,120260,175,0,"708,631","13,618",0,0,0,"9,403","9,403",0,0,"7,800",0,"725,833"
EE,Essex,881,Chelmsford College,General FE and Tertiary,10001353,106563,"2,277",86,"9,417,213","1,053,686",101,0,"516,000","283,675","216,798","66,877","217,750",0,0,"10,434,638"
EE,Essex,881,Chelmsford County High School for Girls,Academy,10032603,119432,242,0,"1,051,164","10,392",0,0,0,"6,916","6,916",0,0,0,0,"1,058,080"
GL,Kensington and Chelsea,207,Chelsea Academy,Academy,10027538,118895,238,1,"1,191,718","54,729",0,0,"6,000","25,533","25,533",0,0,"8,400",0,"1,231,650"
SW,Gloucestershire,916,Cheltenham Bournside School and Sixth Form Centre,Academy,10033585,119724,360,0,"1,457,016","50,730",2,0,0,"26,251","26,251",0,0,"22,200",0,"1,505,468"
EM,Northamptonshire,928,Chenderit School,Academy,10036226,120989,184,5,"728,538","14,426",0,0,"30,000","10,984","10,984",0,"2,500",0,0,"772,023"
SE,Oxfordshire,931,Cheney School,Academy,10039967,123080,221,0,"964,812","27,433",1,0,0,"25,276","25,276",0,0,0,0,"990,088"
SE,Buckinghamshire,825,Chesham Grammar School,Academy,10034648,120091,371,2,"1,635,947","6,000",0,0,"12,000","9,022","9,022",0,0,0,0,"1,656,968"
NW,Cheshire East,895,Cheshire College South and West,General FE and Tertiary,10005972,108444,"3,831",211,"17,387,331","2,164,062",82,0,"1,266,000","568,431","415,980","152,451","440,250",0,0,"19,662,012"
WM,Staffordshire,860,Cheslyn Hay Academy,Academy,10081660,141203,170,0,"680,926","18,163",0,0,0,"13,374","13,374",0,0,"6,000",0,"700,300"
NW,Cheshire West and Chester,896,Chester International School,Studio School,10064962,132780,65,0,"285,901","27,369",1,0,0,"6,973","6,973",0,0,0,0,"292,874"
EM,Derbyshire,830,Chesterfield College,General FE and Tertiary,10001378,105367,"2,558",67,"11,504,780","1,467,346",43,0,"402,000","429,522","322,006","107,516",0,0,0,"12,336,302"
NW,Sefton,343,Chesterfield High School,Academy,10035501,120486,136,0,"570,647","38,316",1,0,0,"16,430","16,430",0,0,0,0,"587,077"
GL,Wandsworth,212,Chestnut Grove School,Academy,10034139,119883,227,4,"1,186,429","55,673",1,0,"24,000","45,999","45,999",0,0,"10,200",0,"1,266,628"
SW,Bath and North East Somerset,800,Chew Valley School,Academy,10066617,140145,162,2,"668,501","6,000",1,0,"12,000","9,882","9,882",0,0,0,0,"690,383"
SE,West Sussex,938,Chichester College,General FE and Tertiary,10007817,107513,"6,128",95,"28,095,791","2,585,974",177,0,"570,000","766,888","597,544","141,946","512,250",0,"12,500","29,957,429"
SE,West Sussex,938,Chichester Free School,Free School,10041694,123297,32,0,"134,782","6,000",0,0,0,"3,433","3,433",0,0,"2,400",0,"140,614"
SE,West Sussex,938,Chichester High School,Academy,10043063,124981,189,0,"720,624","24,628",0,0,0,"14,086","14,086",0,0,0,0,"734,710"
NW,Liverpool,341,Childwall Sports & Science Academy,Academy,10038881,122492,112,0,"509,242","89,477",0,0,0,"19,682","19,682",0,0,0,0,"528,924"
SE,Buckinghamshire,825,Chiltern Hills Academy,Academy,10034974,120280,111,13,"509,591","13,423",0,0,"78,000","15,457","15,457",0,0,"3,000",0,"606,048"
SE,Buckinghamshire,825,Chiltern Way Academy,Academy Special,10056091,133707,20,20,0,0,0,0,"200,000","2,146","2,146",0,0,0,0,"202,146"
EM,Nottinghamshire,891,Chilwell School,School Sixth Form,10001396,114418,104,0,"402,000","6,000",1,0,0,"10,463","10,463",0,0,"6,600",0,"419,063"
GL,Waltham Forest,320,Chingford Foundation School,Academy,10038584,122263,200,0,"915,077","33,586",0,0,0,"17,302","17,302",0,0,0,0,"932,379"
SW,Gloucestershire,916,Chipping Campden School,Academy,10034622,119960,268,0,"1,072,865","8,070",0,0,0,"23,648","23,648",0,0,"12,000",0,"1,108,513"
SE,Oxfordshire,931,Chipping Norton School,Academy,10036615,113956,177,0,"764,196","6,000",1,0,0,"7,079","7,079",0,0,0,0,"771,275"
SW,South Gloucestershire,803,Chipping Sodbury School,School Sixth Form,10001400,113747,66,0,"256,386","6,000",0,0,0,"3,906","3,906",0,0,0,0,"260,292"
GL,Bexley,303,Chislehurst and Sidcup Grammar School,Academy,10035164,120344,430,0,"1,957,527","29,546",1,0,0,"23,232","23,232",0,0,0,0,"1,980,758"
GL,Bromley,305,Chislehurst School for Girls,Academy,10032985,119467,132,1,"610,789","28,059",4,0,"6,000","12,430","12,430",0,0,0,0,"629,219"
GL,Hounslow,313,Chiswick School,Academy,10036744,121123,228,1,"1,059,851","47,240",0,0,"6,000","34,509","34,509",0,0,0,0,"1,100,360"
GL,Newham,316,Chobham Academy,Academy,10041525,121928,306,0,"1,547,182","110,077",0,0,0,"32,828","32,828",0,0,0,0,"1,580,010"
SW,Gloucestershire,916,Chosen Hill School,Academy,10033337,119611,219,0,"900,914","12,832",4,0,0,"12,804","12,804",0,0,0,0,"913,719"
NW,Sefton,343,Christ the King Catholic High School and Sixth Form Centre,School Sixth Form,10001414,113474,164,0,"653,355","25,960",0,0,0,"18,552","18,552",0,0,0,0,"671,907"
SE,Isle of Wight,921,Christ The King College,School Sixth Form,10024128,122230,274,0,"1,154,175","63,928",1,0,0,"29,395","29,395",0,0,0,0,"1,183,570"
GL,Lewisham,209,Christ The King Sixth Form College,Sixth Form College,10001416,108369,"2,368",35,"12,331,109","1,209,629",42,0,"210,000","595,161","410,435","184,726","95,250",0,0,"13,231,520"
EM,Nottinghamshire,891,Christ The King Voluntary Academy,Academy,10039021,121100,77,0,"320,967","13,543",0,0,0,"5,151","5,151",0,0,0,0,"326,118"
NW,Cheshire West and Chester,896,Christleton High School,Academy,10033363,119680,286,0,"1,135,060","12,513",0,0,0,"17,736","17,736",0,0,"6,600",0,"1,159,396"
WM,Worcestershire,885,Christopher Whitehead Language College,Academy,10034170,119890,204,0,"812,603","9,907",1,0,0,"21,885","21,885",0,0,"4,200",0,"838,689"
NE,Sunderland,394,Christs College,Free School,10038572,121984,4,0,"22,613","6,000",0,0,0,500,500,0,0,0,0,"23,113"
GL,Barnet,302,Christ's College Finchley,Academy,10035144,120345,190,0,"860,588","32,290",0,0,0,"21,618","21,618",0,0,0,0,"882,206"
SE,Surrey,936,"Christ's College, Guildford",Academy,10054972,131588,30,0,"138,587","6,000",3,"-1,535",0,"3,467","3,467",0,0,0,0,"140,519"
GL,Richmond upon Thames,318,Christ's School,School Sixth Form,10015716,125716,137,0,"609,829","6,677",0,0,0,"14,697","14,697",0,0,"24,000",0,"648,526"
SW,Gloucestershire,916,Churchdown School,Academy,10035702,119956,182,0,"765,334","35,325",2,0,0,"14,991","14,991",0,0,"5,400",0,"785,725"
SW,North Somerset,802,Churchill Academy & Sixth Form,Academy,10034656,120000,268,0,"1,069,068","12,172",0,0,0,"13,984","13,984",0,0,"34,800",0,"1,117,852"
NE,North Tyneside,392,Churchill Community College,School Sixth Form,10001429,114766,65,0,"258,954","19,755",7,"-4,457",0,"10,320","10,320",0,0,0,0,"264,817"
EE,Norfolk,926,Churchill Park Complex Needs School,Academy Special,10066964,140432,25,25,0,0,0,0,"250,000","2,682","2,682",0,0,0,0,"252,682"
EE,Suffolk,935,Churchill Special Free School,Free School Special,10042046,123396,5,5,0,0,0,0,"50,000",536,536,0,0,0,0,"50,536"
SW,Swindon,866,Churchward School,Free School Special,10068100,140945,5,5,0,0,0,0,"50,000",536,536,0,0,0,0,"50,536"
SW,Torbay,880,Churston Ferrers Grammar School Academy,Academy,10032357,119406,281,2,"1,139,764","35,728",0,0,"12,000","18,724","18,724",0,0,0,0,"1,170,488"
SW,Gloucestershire,916,Cirencester College,Sixth Form College,10001446,106582,"2,227",30,"8,995,447","249,173",57,0,"180,000","189,559","156,743","32,816","144,000",0,0,"9,509,005"
SW,Plymouth,879,City College Plymouth,General FE and Tertiary,10005128,108499,"2,606",170,"10,856,810","1,532,100",4,0,"1,020,000","385,511","249,289","132,591","196,500",0,0,"12,458,821"
EE,Norfolk,926,"City College, Norwich",General FE and Tertiary,10004772,106947,"4,561",225,"20,370,256","2,406,958",75,0,"1,350,000","724,045","533,448","190,597","371,750",0,0,"22,816,050"
SW,Bristol City of,801,City of Bristol College,General FE and Tertiary,10001467,105156,"2,808",460,"13,286,738","2,803,493",113,0,"2,760,000","457,783","309,766","148,017","214,500",0,0,"16,719,021"
GL,Southwark,210,City of London Academy (Southwark),Academy,10017885,118387,321,0,"1,666,098","118,221",0,0,0,"43,046","43,046",0,0,"13,200",0,"1,722,344"
GL,Islington,206,City of London Academy Highbury Grove,Academy,10065100,139535,130,0,"711,559","59,490",0,0,0,"31,093","31,093",0,0,0,0,"742,652"
GL,Islington,206,City of London Academy Islington,Academy,10024134,118605,109,0,"572,235","49,369",0,0,0,"22,413","22,413",0,0,0,0,"594,648"
EE,Norfolk,926,City of Norwich School,Academy,10047138,130865,325,0,"1,319,645","42,010",6,0,0,"23,244","23,244",0,0,"24,000",0,"1,366,889"
WM,Stoke-on-Trent,861,City of Stoke-On-Trent Sixth Form College,Academy,10065146,139271,"1,558",12,"6,569,017","623,612",17,0,"72,000","288,826","221,697","67,129","44,750","75,600",0,"7,050,193"
NE,Sunderland,394,City of Sunderland College,General FE and Tertiary,10001475,107096,"5,207",137,"24,290,485","3,757,747",160,0,"822,000","1,154,854","788,500","264,004","520,500",0,0,"26,787,839"
WM,Wolverhampton,336,City of Wolverhampton College,General FE and Tertiary,10007578,106388,"1,952",194,"8,972,547","1,787,161",102,0,"1,164,000","358,731","242,508","116,223","157,250",0,0,"10,652,528"
YH,York,816,City of York Council,Local Authority,10001477,107576,93,72,"420,459","82,718",12,"-15,429","432,000","9,253","7,514","1,739",0,"1,800",0,"848,083"
EE,Essex,881,Clacton Coastal Academy,Academy,10028138,119097,193,0,"957,774","185,747",0,0,0,"34,547","34,547",0,"9,000",0,0,"1,001,321"
EE,Essex,881,Clacton County High School,Academy,10036670,121144,206,0,"923,940","90,302",0,0,0,"30,332","30,332",0,0,"6,600",0,"960,872"
GL,Hackney,204,Clapton Girls' Academy,Academy,10034561,119950,261,0,"1,393,691","131,437",0,0,0,"46,130","46,130",0,0,"4,800",0,"1,444,621"
GL,Brent,304,Claremont High School,Academy,10033373,119612,297,2,"1,347,005","33,563",0,0,"12,000","27,835","27,835",0,0,0,0,"1,386,840"
GL,Bexley,303,Cleeve Park School,Academy,10038699,121830,141,4,"696,257","36,143",2,0,"24,000","16,160","16,160",0,0,"2,400",0,"738,817"
SW,Gloucestershire,916,Cleeve School,Academy,10033702,119773,303,0,"1,193,996","25,014",10,0,0,"21,075","21,075",0,0,0,0,"1,215,071"
SW,North Somerset,802,Clevedon School,Academy,10036178,120636,163,0,"652,870","7,229",0,0,0,"12,935","12,935",0,0,0,0,"665,805"
NE,Middlesbrough,806,Cleveland College of Art and Design,Art & Design College,10001503,108536,438,25,"2,211,317","214,131",0,0,"150,000","71,381","41,946","29,435",0,0,0,"2,432,698"
NE,Redcar and Cleveland,807,Cleveland Youth Association,Independent Learning Provider,10005775,107081,166,0,"660,506","183,737",5,0,0,"39,232","20,851","18,381","13,500",0,0,"713,238"
NW,Lancashire,888,Clitheroe Royal Grammar School,Academy,10032360,119403,616,2,"2,511,396","58,378",0,0,"12,000","45,250","45,250",0,0,"27,000",0,"2,595,645"
SW,Devon,878,Clyst Vale Community College,Academy,10033354,119545,74,0,"288,672","6,007",2,0,0,"5,897","5,897",0,0,0,0,"294,569"
SE,Surrey,936,Cobham Free School,Free School,10037490,121974,50,0,"229,752","6,000",0,0,0,"5,364","5,364",0,0,0,0,"235,116"
NW,Cumbria,909,Cockermouth School,Academy,10053913,120872,214,0,"850,382","7,875",0,0,0,"13,571","13,571",0,0,0,0,"863,952"
