Region,Local Authority (LA),LA No.,Institution Name,Category,UKPRN,UPIN,Total Students,High Needs Students (included in Total Students),Total Programme Funding (£),Disadvantage Funding (£) (included in Total Programme Funding),Total No. students not meeting the Condition of Funding (2017/18 data),Actual Condition of Funding adjustment in 2019/20 (£) (after mitigation),High Needs Element 2 Funding (£),Total Student Financial Support Funding (£),Discretionary Bursary Funding (£) (included in Total Student Financial Support Funding),Free Meals Funding (£) (included in Total Student Financial Support Funding),Industry Placements: Capacity and Delivery Funding (£),Advanced Maths Premium Funding (£),Alternative Completions Funding (£),Total Funding Allocation (£)
EE,Hertfordshire,919,The Congregation of the Daughters of the Cross of Liege (St Elizabeth's College),Special Post-16 Institution,10006159,115859,23,23,"133,124","25,702",0,0,"138,000","2,467","2,467",0,0,0,0,"273,591"
EE,Cambridgeshire,873,The Consultancy Home Counties Ltd,Independent Learning Provider,10019581,118484,209,0,"918,509","197,083",12,"-8,809",0,"83,407","31,263","52,144",0,0,0,"993,107"
NW,Wirral,344,The Co-Op Academy Bebington,Academy,10081937,141120,133,5,"598,381","82,775",1,0,"30,000","12,501","12,501",0,0,0,0,"640,882"
SE,Oxfordshire,931,The Cooper School,Academy,10046455,129578,202,0,"859,740","6,000",1,0,0,"21,671","21,671",0,0,"4,200",0,"885,611"
GL,Havering,311,The Coopers' Company and Coborn School,Academy,10033236,119636,509,0,"2,309,040","25,940",0,0,0,"17,671","17,671",0,0,"40,800",0,"2,367,511"
SW,Cornwall,908,The Cornwall Council,Local Authority,10001695,108108,176,28,"378,922","85,422",13,"-11,497","168,000","26,224","26,224",0,0,0,0,"561,649"
SW,Wiltshire,865,The Corsham School,Academy,10033325,119625,202,0,"821,603","28,109",3,0,0,"17,198","17,198",0,0,"12,600",0,"851,401"
SW,Gloucestershire,916,The Cotswold Academy,Academy,10031378,119252,270,0,"1,084,503","8,654",0,0,0,"20,215","20,215",0,"2,500",0,0,"1,107,218"
SE,Buckinghamshire,825,The Cottesloe School,School Sixth Form,10006647,113825,126,0,"550,489","10,830",0,0,0,"7,025","7,025",0,0,"15,600",0,"573,114"
GL,Brent,304,The Crest Academy,Academy,10027988,119083,129,0,"639,500","57,096",8,"-4,458",0,"21,923","21,923",0,0,"4,800",0,"661,766"
NW,Oldham,353,The Crompton House Church of England Academy,Academy,10034558,120294,246,5,"987,771","23,536",0,0,"30,000","15,835","15,835",0,0,0,0,"1,033,605"
YH,Calderdale,381,The Crossley Heath School,Academy,10039994,120701,242,1,"1,015,282","46,662",2,0,"6,000","16,522","16,522",0,0,0,0,"1,037,803"
SW,Gloucestershire,916,The Crypt School,Academy,10033257,119557,293,0,"1,180,660","28,096",0,0,0,"21,724","21,724",0,0,0,0,"1,202,384"
NW,Cheshire East,895,The David Lewis College,Special Post-16 Institution,10001867,111827,36,36,"189,425","40,229",0,0,"216,000","7,419","2,896","4,523",0,0,0,"412,844"
WM,Staffordshire,860,The de Ferrers Academy,Academy,10032605,119433,361,0,"1,509,889","51,491",1,0,0,"35,286","35,286",0,0,0,0,"1,545,174"
WM,Worcestershire,885,The De Montfort School,School Sixth Form,10002357,114695,80,0,"320,003","6,000",0,0,0,"6,880","6,880",0,0,0,0,"326,884"
NW,Wigan,359,The Deanery Church of England High School and Sixth Form College,School Sixth Form,10001895,114324,151,0,"707,871","74,264",9,"-3,278",0,"16,159","16,159",0,0,0,0,"720,752"
EM,Lincolnshire,925,The Deepings School,Academy,10036444,120710,195,0,"779,197","7,670",0,0,0,"17,137","17,137",0,0,0,0,"796,333"
GL,Hillingdon,312,The Douay Martyrs Catholic School,Academy,10036743,121058,158,2,"746,949","17,516",0,0,"12,000","12,694","12,694",0,0,0,0,"771,643"
SE,West Berkshire,869,The Downs School,School Sixth Form,10006654,114701,295,0,"1,322,898","12,652",0,0,0,"11,094","11,094",0,0,0,0,"1,333,992"
NE,Northumberland,929,The Duchess's Community High School,School Sixth Form,10006656,113226,268,0,"1,070,374","23,741",0,0,0,"20,246","20,246",0,0,0,0,"1,090,620"
EM,Nottinghamshire,891,The Dukeries Academy,Academy,10039872,122429,81,0,"343,666","25,815",6,"-3,703",0,"17,179","17,179",0,0,0,0,"357,142"
EM,Northamptonshire,928,The Duston School,Academy,10034765,119935,190,1,"777,207","34,681",22,"-23,823","6,000","20,706","20,706",0,0,0,0,"780,089"
SE,Kent,886,The Ebbsfleet Academy,Academy,10038343,120981,67,0,"256,906","9,834",0,0,0,"7,188","7,188",0,0,"4,200",0,"268,294"
EM,Derbyshire,830,The Ecclesbourne School,Academy,10033041,119514,320,0,"1,286,643","6,000",0,0,0,"14,781","14,781",0,0,0,0,"1,301,423"
EM,Nottinghamshire,891,The Elizabethan Academy,Academy,10037017,120873,72,0,"288,754","9,958",0,0,0,"7,724","7,724",0,0,0,0,"296,478"
GL,Ealing,307,The Ellen Wilkinson School for Girls,School Sixth Form,10006659,114196,236,0,"1,121,201","83,851",1,0,0,"37,506","37,506",0,0,0,0,"1,158,707"
GL,Lambeth,208,The Elmgreen School,Academy,10063143,138475,232,0,"1,244,755","112,113",4,0,0,"24,889","24,889",0,0,"3,000",0,"1,272,644"
EE,Hertfordshire,919,The Elstree UTC,University Technical College,10041658,123376,195,0,"948,280","50,047",14,"-7,913",0,"20,920","20,920",0,0,600,0,"961,886"
SE,Wokingham,872,The Emmbrook School,School Sixth Form,10006661,114702,122,0,"548,657","6,000",4,0,0,"4,628","4,628",0,0,0,0,"553,285"
NE,Hartlepool,805,The English Martyrs School and Sixth Form College,Academy,10045943,129903,196,0,"826,697","44,322",0,0,0,"18,504","18,504",0,0,0,0,"845,201"
EM,Lincolnshire,925,"The Eresby School, Spilsby",Academy Special,10041367,122974,15,15,0,0,0,0,"150,000","1,609","1,609",0,0,0,0,"151,609"
NW,Cheshire East,895,The Fallibroome Academy,Academy,10031375,119251,336,3,"1,339,571","10,075",1,0,"18,000","16,391","16,391",0,0,0,0,"1,373,962"
EM,Northamptonshire,928,The Ferrers School,Academy,10042617,124777,122,2,"502,306","18,067",4,0,"12,000","7,646","7,646",0,0,"4,200",0,"526,152"
EE,Essex,881,The FitzWimarc School,Academy,10048919,132099,210,0,"840,605","6,147",0,0,0,"22,529","22,529",0,0,0,0,"863,133"
SE,Kent,886,The Folkestone School for Girls,Academy,10036180,120899,239,0,"970,762","19,546",0,0,0,"19,956","19,956",0,0,0,0,"990,718"
SE,Wokingham,872,The Forest School ,Academy,10042246,124300,217,3,"964,036","13,275",15,"-9,332","18,000","6,298","6,298",0,0,0,0,"979,003"
SE,Hampshire,850,The Fortune Centre of Riding Therapy,Special Post-16 Institution,10002546,114854,27,27,"145,400","30,652",1,0,"162,000","2,897","2,897",0,0,0,0,"310,296"
WM,Staffordshire,860,The Fountains High School,Academy Special,10068290,141030,70,70,0,0,0,0,"700,000","7,510","7,510",0,0,0,0,"707,510"
GL,Havering,311,The Frances Bardsley Academy for Girls,Academy,10037584,121842,160,0,"718,483","13,078",0,0,0,"9,765","9,765",0,0,0,0,"728,248"
